"Name","ActiveHomeListingCount","AggravatedAssault","AggravatedAssaultRate","AggregateHouseholdIncome","Area","AverageHomeListingPrice","BurglaryRate","CitySalesTaxRate","CrimeRate","Elevation","GiniIndex","HousePriceIndex","HousingUnits","Latitude","Longitude","MedianAge","NumberOfHomes","PerCapitaIncome","Population","UnemploymentRate"
"Park Rapids","Missing[""NotAvailable""]",11,0.0025809,83673900,6.5856,"Missing[""NotAvailable""]",0.0053965,0.,0.0647583,1.44e3,0.4543,"Missing[""NotAvailable""]",1701,46.9174218,-95.0603419,36.,"Missing[""NotAvailable""]",21612,4142,"Missing[""NotAvailable""]"
"Rice Lake","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",147769800,33.154,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0.3322,"Missing[""NotAvailable""]",1736,46.9089005,-92.1322246,44.1,"Missing[""NotAvailable""]",35518,4112,"Missing[""NotAvailable""]"
"Bayport",6996.,0,0.,116668700,1.7538,524274.,0.,0.25,0.0052165,709.,0.4138,332.1,1139,45.0168524,-92.7834559,37.8,979442,33874,4024,"Missing[""NotAvailable""]"
"Scandia","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",213662400,39.851,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0.4888,"Missing[""NotAvailable""]",1502,45.2515356,-92.8334093,50.6,"Missing[""NotAvailable""]",52506,3984,"Missing[""NotAvailable""]"
"Grant",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",234449000,25.104,524274.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.01e3,0.3969,332.1,1561,45.082077,-92.9109481,51.3,979442,57597,3966,"Missing[""NotAvailable""]"
"Deephaven",6996.,1,0.00025130000000000004,313003000,2.3675,524274.,0.0007538,"Missing[""NotAvailable""]",0.006784,955.,0.4994,332.1,1457,44.92944,-93.5232381,43.7,979442,80791,3899,"Missing[""NotAvailable""]"
"Centerville",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",177171300,2.1265,524274.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",906.,0.3775,332.1,1396,45.1635151,-93.0542963,38.6,979442,45035,3896,"Missing[""NotAvailable""]"
"Norwood Young America",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",106900000,2.5153,524274.,"Missing[""NotAvailable""]",0.,"Missing[""NotAvailable""]",991.,0.3374,332.1,1450,44.7729236,-93.9210121,35.3,979442,29171,3863,"Missing[""NotAvailable""]"
"Newport",6996.,12,0.0034513,105063000,3.6308,524274.,0.0031636000000000004,0.25,0.0296233,745.,0.389,332.1,1422,44.8744581,-92.9986917,41.1,979442,30253,3797,"Missing[""NotAvailable""]"
"Montrose",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",84407200,3.1998,524274.,"Missing[""NotAvailable""]",0.,"Missing[""NotAvailable""]",994.,0.3487,332.1,1081,45.0669465,-93.9176355,32.4,979442,27093,3775,"Missing[""NotAvailable""]"
"Pine Island",90.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",112888200,5.587,377679.,"Missing[""NotAvailable""]",0.5,"Missing[""NotAvailable""]",1.e3,0.3356,"Missing[""NotAvailable""]",1406,44.1981097,-92.6284673,35.,14712,30883,3769,"Missing[""NotAvailable""]"
"Saint Charles",53.,2,0.0005301,113350500,3.8582,336519.,0.0010602,0.,0.010601600000000001,1.13e3,0.3665,"Missing[""NotAvailable""]",1394,43.968743,-92.0590247,34.4,14012,32983,3768,"Missing[""NotAvailable""]"
"Independence",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",249281100,32.366,524274.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",978.,0.5098,332.1,1153,45.0180749,-93.7194146,44.8,979442,67144,3755,"Missing[""NotAvailable""]"
"Zumbrota",90.,1,0.00028760000000000005,103507300,2.6682,377679.,0.0014380000000000003,0.5,0.012654600000000002,991.,0.4101,"Missing[""NotAvailable""]",1445,44.294504,-92.6730094,39.9,14712,30672,3726,"Missing[""NotAvailable""]"
"Mora","Missing[""NotAvailable""]",17,0.004944700000000001,78215600,5.0026,"Missing[""NotAvailable""]",0.0034904000000000007,0.,0.039073800000000006,1.01e3,0.3893,"Missing[""NotAvailable""]",1417,45.8762989,-93.29176,41.,"Missing[""NotAvailable""]",23421,3665,"Missing[""NotAvailable""]"
"Deer Lake","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",183.3,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.3e3,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",47.3354962,-93.6721895,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",3664,"Missing[""NotAvailable""]"
"Long Prairie","Missing[""NotAvailable""]",4,0.0012132,69574300,2.6124,"Missing[""NotAvailable""]",0.0006066,0.,0.016681800000000004,1.29e3,0.3908,"Missing[""NotAvailable""]",1330,45.9787445,-94.8632137,43.2,"Missing[""NotAvailable""]",21470,3661,"Missing[""NotAvailable""]"
"Two Harbors","Missing[""NotAvailable""]",0,0.,102089400,3.3019,"Missing[""NotAvailable""]",0.,1.,0.0014192,669.,0.3731,"Missing[""NotAvailable""]",1712,47.0301846,-91.6749733,39.6,"Missing[""NotAvailable""]",27394,3633,"Missing[""NotAvailable""]"
"Melrose",286.,1,0.0002746,94645100,3.187,379659.,0.0005491,0.,0.0079626,1.2e3,0.3672,312.5,1398,45.6770082,-94.8147743,39.6,52003,26269,3602,"Missing[""NotAvailable""]"
"Hanover",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",132195000,5.4501,524274.,"Missing[""NotAvailable""]",0.,"Missing[""NotAvailable""]",922.,0.3776,332.1,1081,45.1579633,-93.6628993,34.7,979442,40429,3548,"Missing[""NotAvailable""]"
"Perham",143.,3,0.0008276000000000002,95638500,3.1792,426443.,0.,0.5,0.0027586000000000004,1.37e3,0.4096,"Missing[""NotAvailable""]",1646,46.598755,-95.5742609,40.9,19684,29341,3512,"Missing[""NotAvailable""]"
"St. Augusta","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",29.862,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",45.4501725,-94.1937849,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",3497,"Missing[""NotAvailable""]"
"Eveleth",499.,5,0.0013959,90556500,6.2936,359005.,0.005583500000000001,0.,0.03322170000000001,1.59e3,0.417,367.16,1683,47.4733173,-92.5488711,36.2,89813,25878,3493,"Missing[""NotAvailable""]"
"Plainview",433.,0,0.,108212600,2.163,454990.,0.0018209,0.,0.0069803,1.16e3,0.4767,314.89,1281,44.1646865,-92.1691897,36.8,66771,33531,3483,"Missing[""NotAvailable""]"
