id,name,enrollment
18638,2024 Fall - CSCI 127M-04 - (MC) Object-Oriented Programming and Abstraction,1
18639,2024 Fall - WRIT 3450-1 - Runestone: Introduction to Literary Publishing,17
18640,2024 Fall - ART 1510/3510 - Sculpture I & II,15
18641,2024 Fall - DASC 400T-01 - (ST) Data Mining & Machine Learning,1
18642,2024 Fall - WRIT 3540-1 - Creative Writing Workshop,14
18643,2024 Fall - PSCI 1000-1 - Great Questions of Modern Politics,19
18644,2024 Fall - ART 3510-1 - Sculpture II,0
18645,2024 Fall - PSY 202T-L01 - (ST) Lifespan Development,1
18647,2024 Fall - ART 5510-1 - Sculpture III,0
18648,2024 Fall - MATH 313T-01 - (ST) Probability,2
18649,2024 Fall - PPC 3010-1 - Production Experience: Romeo and Juliet,28
18650,2024 Fall - QMBE 1310-1&2 - Statistics,64
18651,2024 Fall - GEOG 111T-L01 - (ST) Human Geography,3
18652,2024 Fall - ART 1540-2 - Painting I,15
18653,2024 Fall - WRIT 1200-1 - The Creative Process,16
18654,2024 Fall - SJSC 5970-RL - Independent Study: The Parents' Perspective,1
18655,2024 Fall - ART 3420-1 - Digital Video II,8
18656,2024 Fall - CJFS 1120-1 - Crime and Justice in America,32
18657,2024 Fall - QMBE 1310-2 - Statistics,0
18658,2024 Fall - ART 5420-1 - Digital Video III,1
18659,2024 Fall - CJFS 1400-1 - Diversity Issues in Criminal Justice,33
18660,2024 Fall - ARTH 1250-1 - Graphic Design History,19
18661,2024 Fall - PHYS 5920-1 - Research Project-Based Advanced Laboratory,6
18662,2024 Fall - CJFS 3400-1 - Survey of Forensic Science,35
18663,2024 Fall - QMBE 1320-1 - Introduction to Business Analytics,33
18665,2024 Fall - BIOC 3820-1 - Biochemistry I,27
18666,2024 Fall - CJFS 3410-1 - Crime Scene and Death Investigation,16
18668,2024 Fall - BIOC 3820-L1 - LAB: Biochemistry I,17
18669,2024 Fall - CJFS 3700-1 - Policing in America,29
18670,2024 Fall - QMBE 1320-2 - Introduction to Business Analytics,27
18671,2024 Fall - PHYS 1080C-D01/D50 - (SC) Physics for the Health Sciences I,2
